Record_ID,Entity_Name,State,Covered_Entity_Type,Individuals_Affected,Submission_Date,Submission_Year,Submission_Month,Breach_Type,Information_Location,Business_Associate_Present,Investigation_Status,Large_Breach_100K,Log_Individuals_Affected,Business_Associate_Flag,Hacking_IT_Flag,Unauthorized_Access_Flag,Theft_Flag,Loss_Flag,Improper_Disposal_Flag,Potential_Duplicate_Flag,Model_Ready_Flag
HHS-000040,Lennox International Inc.,TX,Health Plan,3709,2026-04-17,2026,4,Hacking/IT Incident,Network Server,Yes,Archived,0,8.2187871556014809,1,1,0,0,0,0,0,1
HHS-000041,Iowa Department of Health and Human Services,IA,Health Plan,6717,2026-04-16,2026,4,Unauthorized Access/Disclosure,Network Server,No,Archived,0,8.8125457701722372,0,0,1,0,0,0,0,1
HHS-000042,Washington VA Medical Center,DC,Healthcare Provider,1467,2026-04-16,2026,4,Unauthorized Access/Disclosure,Paper/Films,No,Archived,0,7.2916562091744606,0,0,1,0,0,0,0,1
HHS-000043,"City Health, a medical corporation",CA,Healthcare Provider,65000,2026-04-14,2026,4,Unauthorized Access/Disclosure,Electronic Medical Record,No,Archived,0,11.082157933374816,0,0,1,0,0,0,0,1
HHS-000044,"Instabase, Inc.",DE,Health Plan,908,2026-04-13,2026,4,Hacking/IT Incident,Network Server,Yes,Archived,0,6.8123450941774788,1,1,0,0,0,0,0,1
HHS-000045,"Duncan Regional Hospital, Inc.",OK,Healthcare Provider,724,2026-04-10,2026,4,Hacking/IT Incident,Network Server,No,Archived,0,6.5861716548546747,0,1,0,0,0,0,0,1
HHS-000046,"Branch Metrics, Inc.",CA,Health Plan,857,2026-04-10,2026,4,Hacking/IT Incident,Network Server,Yes,Archived,0,6.7546040994879624,1,1,0,0,0,0,0,1
HHS-000047,Virginia Department of Behavioral Health and Developmental Services,VA,Healthcare Provider,724,2026-04-07,2026,4,Unauthorized Access/Disclosure,Email,No,Archived,0,6.5861716548546747,0,0,1,0,0,0,0,1
HHS-000048,LifeSpring Home Care,OK,Healthcare Provider,7509,2026-04-06,2026,4,Hacking/IT Incident,"Network Server, Other",Yes,Archived,0,8.9239907447581803,1,1,0,0,0,0,0,1
HHS-000049,"Cullen/Frost Bankers, Inc.",TX,Health Plan,4698,2026-03-26,2026,3,Hacking/IT Incident,Network Server,Yes,Archived,0,8.4551049991028151,1,1,0,0,0,0,0,1
HHS-000050,Amedisys,LA,Healthcare Provider,9111,2026-03-26,2026,3,Hacking/IT Incident,Network Server,Yes,Archived,0,9.1173475051270181,1,1,0,0,0,0,0,1
HHS-000051,LHC Group,LA,Healthcare Provider,8644,2026-03-26,2026,3,Hacking/IT Incident,Network Server,Yes,Archived,0,9.0647363981173914,1,1,0,0,0,0,0,1
HHS-000052,Securian Financial,MN,Health Plan,500,2026-03-25,2026,3,Hacking/IT Incident,Network Server,Yes,Archived,0,6.2166061010848646,1,1,0,0,0,0,0,1
HHS-000053,Fenwick & West Group Health Plan,CA,Health Plan,1740,2026-03-24,2026,3,Hacking/IT Incident,Network Server,Yes,Archived,0,7.4622149397681889,1,1,0,0,0,0,0,1
HHS-000054,"VirtuOx, LLC",FL,Healthcare Provider,621,2026-03-24,2026,3,Hacking/IT Incident,Network Server,Yes,Archived,0,6.4329400927391793,1,1,0,0,0,0,0,1
HHS-000055,Continental Casualty Company (CNA),IL,Health Plan,6086,2026-03-23,2026,3,Hacking/IT Incident,Network Server,Yes,Archived,0,8.7139106284939238,1,1,0,0,0,0,0,1
HHS-000056,"Mays Housecall Home Health, Inc.",TX,Healthcare Provider,5208,2026-03-21,2026,3,Hacking/IT Incident,"Network Server, Other",Yes,Archived,0,8.5581431777451922,1,1,0,0,0,0,0,1
HHS-000057,Deaconess Health System,IN,Healthcare Provider,8941,2026-03-20,2026,3,Hacking/IT Incident,Network Server,Yes,Archived,0,9.0985145567939263,1,1,0,0,0,0,0,1
HHS-000058,"BeyondFaith Homecare & Rehab, LLC",TX,Healthcare Provider,708,2026-03-19,2026,3,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,Archived,0,6.5638555265321274,1,1,0,0,0,0,0,1
HHS-000059,Amyris Incorporated Health and Welfare Plan,CA,Health Plan,2042,2026-03-17,2026,3,Hacking/IT Incident,Network Server,Yes,Archived,0,7.6221745948176221,1,1,0,0,0,0,0,1
HHS-000060,Coastal Skin Surgery & Dermatology,FL,Healthcare Provider,6173,2026-03-17,2026,3,Hacking/IT Incident,Network Server,Yes,Archived,0,8.728102205062104,1,1,0,0,0,0,0,1
HHS-000061,"Walpole Area Visiting Nurse Association, Inc.",MA,Healthcare Provider,566,2026-03-16,2026,3,Hacking/IT Incident,Network Server,Yes,Archived,0,6.3403593037277517,1,1,0,0,0,0,0,1
HHS-000062,Volvo Welfare Benefit Plan,NC,Health Plan,16991,2026-03-16,2026,3,Hacking/IT Incident,Network Server,Yes,Archived,0,9.7404979240416658,1,1,0,0,0,0,0,1
HHS-000063,Northern Regional Hospital,NC,Healthcare Provider,1575,2026-03-15,2026,3,Hacking/IT Incident,Email,Yes,Archived,0,7.3626452704178247,1,1,0,0,0,0,0,1
HHS-000064,Wonderland Child & Family Services,WA,Healthcare Provider,1283,2026-03-13,2026,3,Unauthorized Access/Disclosure,Laptop,No,Archived,0,7.1577354842499066,0,0,1,0,0,0,0,1
HHS-000065,Ideal Home Care,OK,Healthcare Provider,1331,2026-03-13,2026,3,Hacking/IT Incident,Network Server,Yes,Archived,0,7.1944368511003347,1,1,0,0,0,0,0,1
HHS-000066,A Path of Care Home Health and Hospice,OK,Healthcare Provider,3849,2026-03-13,2026,3,Hacking/IT Incident,Network Server,Yes,Archived,0,8.2558284272818305,1,1,0,0,0,0,0,1
HHS-000067,Central Ohio Urology Group,OH,Healthcare Provider,4234,2026-03-12,2026,3,Hacking/IT Incident,Network Server,Yes,Archived,0,8.3511386070861544,1,1,0,0,0,0,0,1
